,X,Industry..including.construction...value.added....of.GDP.,Foreign.direct.investment..net.inflows..BoP..current.US..,High.technology.exports....of.manufactured.exports.,Merchandise.trade....of.GDP.,Net.barter.terms.of.trade.index..2000...100.,Total.debt.service....of.exports.of.goods..services.and.primary.income.,unemloyment.rate.,GDP,Real_GDP
1,2009,31.12137211,35581372930,9.56530523,31.45653285,95.01240588,6.018410318,5.54,1340000000000,0
2,2010,30.72507823,27396885034,7.72334081,34.41028425,93.47166416,7.018410318,5.55,1680000000000,0
3,2011,30.16167976,36498654598,7.868565007,42.09248405,89.99256996,8.018410318,5.43,1820000000000,0
4,2012,29.3985277,23995685014,7.699917993,43.03489316,90.08283332,6.713104064,5.41,1830000000000,230000000000
5,2013,28.40489956,28153031270,8.869966767,42.02271255,92.44597165,8.074193503,5.42,1860000000000,300000000000
6,2014,27.6564012,34576643694,9.21716626,38.52647864,93.82252823,18.62962054,5.44,2040000000000,612000000000
7,2015,27.34739148,44009492130,8.021878867,31.4739416,104.2283051,11.20633835,5.44,2100000000000,923000000000
8,2016,26.61899994,44458571546,7.660357307,27.28741289,107.0105809,17.26337804,5.42,2290000000000,709000000000
9,2017,26.50001665,39966091359,7.360672934,28.25471031,102.4693962,10.0846698,5.36,2650000000000,668000000000
10,2018,26.4120919,42117450737,9.040355731,31.04934598,96.32259344,11.39755393,5.33,2700000000000,696000000000
11,2019,24.59645788,50610647354,10.22349924,28.62030916,98.02427941,9.002253551,5.27,2830000000000,1180000000000
12,2020,24.53106619,64362364994,11.03225685,24.35112396,105.0955464,15.02869206,8,2670000000000,476000000000
13,2021,25.87180102,44730000000,10.21,30.50131515,96.62573893,7.310951997,5.98,3170000000000,331000000000
